name,url
"Навчально-науковий інститут біології, хімії та біоресурсів",http://ibhb.chnu.edu.ua/
Навчально-науковий інститут фізико-технічних та комп’ютерних наук,http://ptcsi.chnu.edu.ua/
"Факультет архітектури, будівництва та декоративно-прикладного мистецтва",http://arhibud.chnu.edu.ua/index.php?page=ua
Географічний факультет,http://geo.chnu.edu.ua/index.php?page=ua
Економічний факультет,https://econom.chnu.edu.ua/
Факультет іноземних мов,https://mel.chnu.edu.ua/
"Факультет історії, політології та міжнародних відносин",http://history.chnu.edu.ua/index.php?page=ua
Факультет математики та інформатики,https://fmi.chnu.edu.ua/
"Факультет педагогіки,  психології та соціальної роботи",http://webchnunew.kl.com.ua/
Факультет фізичної культури та здоров'я людини,http://fizkult.chnu.edu.ua/
Філологічний факультет,http://philology.chnu.edu.ua/
Юридичний факультет,https://law.chnu.edu.ua/
Відокремлений структурний підрозділ «Фаховий коледж Чернівецького національного університету імені Юрія Федьковича»,http://college-chnu.cv.ua/
Кафедра публічного права,https://law.chnu.edu.ua/public-law/
Кафедра приватного права,https://law.chnu.edu.ua/private-law/
Кафедра процесуального права,https://law.chnu.edu.ua/procedural-law/
Кафедра кримінального права,https://law.chnu.edu.ua/criminal-law/
Кафедра міжнародного права,https://law.chnu.edu.ua/european-law/
Кафедра теорії права та прав людини,https://law.chnu.edu.ua/human-rights/
Кафедра англійської мови,http://english.chnu.edu.ua
"Кафедра германського, загального і порівняльного мовознавства",http://deutsch.chnu.edu.ua
Кафедра іноземних мов для гуманітарних факультетів,http://liberal1.chnu.edu.ua
Кафедра іноземних мов для природничих факультетів,http://natural1.chnu.edu.ua
Кафедра комунікативної лінгвістики та перекладу,http://translationdept.chnu.edu.ua
Кафедра романської філології та перекладу,http://french.chnu.edu.ua
Кафедра англійської мови,http://english.chnu.edu.ua
"Кафедра германського, загального і порівняльного мовознавства",http://deutsch.chnu.edu.ua
Кафедра іноземних мов для гуманітарних факультетів,http://liberal1.chnu.edu.ua
Кафедра іноземних мов для природничих факультетів,http://natural1.chnu.edu.ua
Кафедра комунікативної лінгвістики та перекладу,http://translationdept.chnu.edu.ua
Кафедра романської філології та перекладу,http://french.chnu.edu.ua
Кафедра алгебри та інформатики,https://algebra.chnu.edu.ua/
Кафедра диференціальних рівнянь,https://difeq.chnu.edu.ua/
Кафедра математичного аналізу,https://math-analysis.chnu.edu.ua/
Кафедра математичного моделювання,https://mathmod.chnu.edu.ua/
Кафедра прикладної математики та інформаційних технологій,https://amit.chnu.edu.ua/
Кафедра теорії та методики фізичного виховання і спорту,http://fks.chnu.edu.ua/
Кафедра фізичної культури та основ здоров’я,http://fiz-zl.chnu.edu.ua/
"Кафедра фізичної реабілітації, ерготерапії та домедичної допомоги",http://fizreab.chnu.edu.ua/
Кафедра фізичного виховання,http://www.physprirod.chnu.edu.ua/index.php?page=ua
Кафедра військової підготовки,http://cvp.chnu.edu.ua/index.php?page=ua
Кафедра сучасної української мови,http://philology.chnu.edu.ua/?page_id=193
Кафедра економіко-математичного моделювання,http://emm.cv.ua
Кафедра прикладної математики та інформаційних технологій,https://www.facebook.com/AppMathAndIT?__cft__[0]=AZWWajahhVu7B6yQBKZWaMGxSQ7xV6meYiUQVLBNzuU_gSrLAWyfgLxNgeqgkMptOa0KLe6uRJPiwxsfabwWeNXdAmoalgYx12_cBVOc4mTr8Ix_7Cc3Jv8bbe1dnIzWTo-XpZyGsxHn2HOAiTNCfdiA&__tn__=-]K-R
Кафедра румунської та класичної філології,http://philology.chnu.edu.ua/?page_id=222
Кафедра історії та культури української мови,http://philology.chnu.edu.ua/?page_id=642
Кафедра української літератури,http://philology.chnu.edu.ua/?page_id=600
Кафедра журналістики,http://philology.chnu.edu.ua/?page_id=671
Кафедра зарубіжної літератури та теорії літератури,http://philology.chnu.edu.ua/?page_id=281
Кафедра філософії та культурології,http://philology.chnu.edu.ua/?page_id=4165
Кафедра бізнесу та управління персоналом,https://econom.chnu.edu.ua/kafedry-ekonomichnogo-fakultetu/kafedra-ekonomiky-pidpryyemstva-ta-up
"Кафедра маркетингу, інновацій та регіонального розвитку",http://mmix.cv.ua
"Кафедра економічної теорії, менеджменту та адміністрування",https://econom.chnu.edu.ua/kafedry-ekonomichnogo-fakultetu/kafedra-menedzhmentu-ekonomichnoyi-teo
Кафедра міжнародної економіки,https://interec.info/
"Кафедра обліку, аналізу, і аудиту",https://econom.chnu.edu.ua/kafedry-ekonomichnogo-fakultetu/kafedra-obliku-analizu-i-audytu
Кафедра фінансів і кредиту,https://econom.chnu.edu.ua/kafedry-ekonomichnogo-fakultetu/kafedra-finansiv-i-kredytu
"Кафедра публічних, корпоративних фінансів та фінансового посередництва",https://econom.chnu.edu.ua/kafedry-ekonomichnogo-fakultetu/kaf-pub-about
"Кафедра підприємництва, торгівлі та біржової діяльності",https://econom.chnu.edu.ua/?page_id=10761
Кафедра сучасної української мови,http://philology.chnu.edu.ua/?page_id=193
Кафедра румунської та класичної філології,http://philology.chnu.edu.ua/?page_id=222
Кафедра історії та культури української мови,http://philology.chnu.edu.ua/?page_id=642
Кафедра української літератури,http://philology.chnu.edu.ua/?page_id=600
Кафедра журналістики,http://philology.chnu.edu.ua/?page_id=671
Кафедра зарубіжної літератури та теорії літератури,http://philology.chnu.edu.ua/?page_id=281
Кафедра філософії та культурології,http://philology.chnu.edu.ua/?page_id=4165
name,url
"Навчально-науковий інститут біології, хімії та біоресурсів",http://ibhb.chnu.edu.ua/
Навчально-науковий інститут фізико-технічних та комп’ютерних наук,http://ptcsi.chnu.edu.ua/
"Факультет архітектури, будівництва та декоративно-прикладного мистецтва",http://arhibud.chnu.edu.ua/index.php?page=ua
Географічний факультет,http://geo.chnu.edu.ua/index.php?page=ua
Економічний факультет,https://econom.chnu.edu.ua/
Факультет іноземних мов,https://mel.chnu.edu.ua/
"Факультет історії, політології та міжнародних відносин",http://history.chnu.edu.ua/index.php?page=ua
Факультет математики та інформатики,https://fmi.chnu.edu.ua/
"Факультет педагогіки,  психології та соціальної роботи",http://webchnunew.kl.com.ua/
Факультет фізичної культури та здоров'я людини,http://fizkult.chnu.edu.ua/
Філологічний факультет,http://philology.chnu.edu.ua/
Юридичний факультет,https://law.chnu.edu.ua/
Відокремлений структурний підрозділ «Фаховий коледж Чернівецького національного університету імені Юрія Федьковича»,http://college-chnu.cv.ua/
Кафедра публічного права,https://law.chnu.edu.ua/public-law/
Кафедра приватного права,https://law.chnu.edu.ua/private-law/
Кафедра процесуального права,https://law.chnu.edu.ua/procedural-law/
Кафедра кримінального права,https://law.chnu.edu.ua/criminal-law/
Кафедра міжнародного права,https://law.chnu.edu.ua/european-law/
Кафедра теорії права та прав людини,https://law.chnu.edu.ua/human-rights/
Кафедра англійської мови,http://english.chnu.edu.ua
"Кафедра германського, загального і порівняльного мовознавства",http://deutsch.chnu.edu.ua
Кафедра іноземних мов для гуманітарних факультетів,http://liberal1.chnu.edu.ua
Кафедра іноземних мов для природничих факультетів,http://natural1.chnu.edu.ua
Кафедра комунікативної лінгвістики та перекладу,http://translationdept.chnu.edu.ua
Кафедра романської філології та перекладу,http://french.chnu.edu.ua
Кафедра англійської мови,http://english.chnu.edu.ua
"Кафедра германського, загального і порівняльного мовознавства",http://deutsch.chnu.edu.ua
Кафедра іноземних мов для гуманітарних факультетів,http://liberal1.chnu.edu.ua
Кафедра іноземних мов для природничих факультетів,http://natural1.chnu.edu.ua
Кафедра комунікативної лінгвістики та перекладу,http://translationdept.chnu.edu.ua
Кафедра романської філології та перекладу,http://french.chnu.edu.ua
Кафедра алгебри та інформатики,https://algebra.chnu.edu.ua/
Кафедра диференціальних рівнянь,https://difeq.chnu.edu.ua/
Кафедра математичного аналізу,https://math-analysis.chnu.edu.ua/
Кафедра математичного моделювання,https://mathmod.chnu.edu.ua/
Кафедра прикладної математики та інформаційних технологій,https://amit.chnu.edu.ua/
Кафедра економіко-математичного моделювання,http://emm.cv.ua
Кафедра бізнесу та управління персоналом,https://econom.chnu.edu.ua/kafedry-ekonomichnogo-fakultetu/kafedra-ekonomiky-pidpryyemstva-ta-up
"Кафедра маркетингу, інновацій та регіонального розвитку",http://mmix.cv.ua
"Кафедра економічної теорії, менеджменту та адміністрування",https://econom.chnu.edu.ua/kafedry-ekonomichnogo-fakultetu/kafedra-menedzhmentu-ekonomichnoyi-teo
Кафедра міжнародної економіки,https://interec.info/
"Кафедра обліку, аналізу, і аудиту",https://econom.chnu.edu.ua/kafedry-ekonomichnogo-fakultetu/kafedra-obliku-analizu-i-audytu
Кафедра фінансів і кредиту,https://econom.chnu.edu.ua/kafedry-ekonomichnogo-fakultetu/kafedra-finansiv-i-kredytu
"Кафедра публічних, корпоративних фінансів та фінансового посередництва",https://econom.chnu.edu.ua/kafedry-ekonomichnogo-fakultetu/kaf-pub-about
"Кафедра підприємництва, торгівлі та біржової діяльності",https://econom.chnu.edu.ua/?page_id=10761
Кафедра сучасної української мови,http://philology.chnu.edu.ua/?page_id=193
Кафедра румунської та класичної філології,http://philology.chnu.edu.ua/?page_id=222
Кафедра історії та культури української мови,http://philology.chnu.edu.ua/?page_id=642
Кафедра української літератури,http://philology.chnu.edu.ua/?page_id=600
Кафедра журналістики,http://philology.chnu.edu.ua/?page_id=671
Кафедра зарубіжної літератури та теорії літератури,http://philology.chnu.edu.ua/?page_id=281
Кафедра філософії та культурології,http://philology.chnu.edu.ua/?page_id=4165
Кафедра сучасної української мови,http://philology.chnu.edu.ua/?page_id=193
Кафедра румунської та класичної філології,http://philology.chnu.edu.ua/?page_id=222
Кафедра історії та культури української мови,http://philology.chnu.edu.ua/?page_id=642
Кафедра української літератури,http://philology.chnu.edu.ua/?page_id=600
Кафедра журналістики,http://philology.chnu.edu.ua/?page_id=671
Кафедра зарубіжної літератури та теорії літератури,http://philology.chnu.edu.ua/?page_id=281
Кафедра філософії та культурології,http://philology.chnu.edu.ua/?page_id=4165
Кафедра теорії та методики фізичного виховання і спорту,http://fks.chnu.edu.ua/
Кафедра фізичної культури та основ здоров’я,http://fiz-zl.chnu.edu.ua/
"Кафедра фізичної реабілітації, ерготерапії та домедичної допомоги",http://fizreab.chnu.edu.ua/
Кафедра фізичного виховання,http://www.physprirod.chnu.edu.ua/index.php?page=ua
Кафедра військової підготовки,http://cvp.chnu.edu.ua/index.php?page=ua
Кафедра прикладної математики та інформаційних технологій,https://www.facebook.com/AppMathAndIT?__cft__[0]=AZWWajahhVu7B6yQBKZWaMGxSQ7xV6meYiUQVLBNzuU_gSrLAWyfgLxNgeqgkMptOa0KLe6uRJPiwxsfabwWeNXdAmoalgYx12_cBVOc4mTr8Ix_7Cc3Jv8bbe1dnIzWTo-XpZyGsxHn2HOAiTNCfdiA&__tn__=-]K-R
